activity_name,instruction
clean_synthetic_hiking_gear,Clean synthetic hiking gear.
clean_tennis_balls,Clean tennis balls.
clean_the_bottom_of_an_iron,Clean the bottom of an iron.
clean_the_exterior_of_your_garage,Clean the exterior of your garage.
clean_the_interior_of_your_car,Clean the interior of your car.
clean_the_outside_of_a_house,Clean the outside of a house.
clean_tweed,Clean tweed.
clean_up_after_a_dinner_party,Clean up after a dinner party.
clean_up_broken_glass,Clean up broken glass.
clean_up_gasoline,Clean up gasoline.
clean_up_spilled_egg,Clean up spilled egg.
clean_up_water_damage,Clean up water damage.
clean_up_your_desk,Clean up your desk.
clean_vans,Clean vans.
clean_vases,Clean vases.
clean_vintage_stereo_equipment,Clean vintage stereo equipment.
clean_vinyl_shutters,Clean vinyl shutters.
clean_walls,Clean walls.
clean_whiskey_stones,Clean whiskey stones.
clean_white_wall_tires,Clean white wall tires.
clean_wine_glasses,Clean wine glasses.
clean_wood_doors,Clean wood doors.
clean_wood_pallets,Clean wood pallets.
clean_wood_siding,Clean wood siding.
clean_wooden_blocks,Clean wooden blocks.
clean_your_baseboard_radiators,Clean your baseboard radiators.
clean_your_cleaning_supplies,Clean your cleaning supplies.
clean_your_electronics,Clean your electronics.
clean_your_goal_keeper_gloves,Clean your goalkeeper gloves.
clean_your_house_after_a_wild_party,Clean your house after a wild party.
clean_your_kitty_litter_box,Clean your kitty litter box.
clean_your_laundry_room,Clean your laundry room.
clean_your_pencil_case,Clean your pencil case.
clean_your_rusty_garden_tools,Clean your rusty garden tools.
cleaning_around_pool_in_garden,Clean around pool in garden.
cleaning_barbecue_grill,Clean barbecue grill.
cleaning_bathrooms,Clean bathrooms.
cleaning_bathtub,Clean bathtub.
cleaning_bedroom,Clean bedroom.
cleaning_boat,Clean boat.
cleaning_camper_or_RV,Clean camper or RV.
cleaning_carpets,Clean carpets.
cleaning_computer,Clean computer.
cleaning_cups_in_living_room,Clean cups in living room.
cleaning_debris_out_of_car,Clean debris out of the car.
cleaning_driveway,Clean driveway.
cleaning_fan,Clean fan.
cleaning_fishing_gear,Clean fishing gear.
cleaning_floors,Clean floors.
cleaning_freezer,Clean freezer.
cleaning_garage,Clean garage.
cleaning_garden_path,Clean garden path.
cleaning_garden_tools,Clean garden tools.
cleaning_glasses_off_bar,Clean glasses off bar.
cleaning_high_chair,Clean high chair.
cleaning_kitchen_cupboard,Clean kitchen cupboard.
cleaning_kitchen_knives,Clean kitchen knives.
cleaning_lawnmowers,Clean lawnmowers.
cleaning_microwave_oven,Clean microwave oven.
cleaning_mushrooms,Clean mushrooms.
cleaning_out_drawers,Clean out drawers.
cleaning_oven,Clean oven.
cleaning_parks,Clean parks.
cleaning_patio_furniture,Clean patio furniture.
cleaning_pavement,Clean pavement.
cleaning_pet_bed,Clean pet bed.
cleaning_rainboots,Clean rainboots.
cleaning_restaurant_table,Clean restaurant table.
cleaning_shed,Clean shed.
cleaning_shoes,Clean shoes.
cleaning_skis,Clean skis.
cleaning_sneakers,Clean sneakers.
cleaning_stove,Clean stove.
cleaning_stuff_out_of_car,Clean stuff out of the car.
cleaning_table_after_clearing,Clean table after clearing.
cleaning_the_hot_tub,Clean the hot tub.
cleaning_the_pool,Clean the pool.
cleaning_the_yard,Clean the yard.
cleaning_toilet,Clean toilet.
cleaning_tools_and_equipment,Clean tools and equipment.
cleaning_up_after_a_meal,Clean up after a meal.
cleaning_up_after_an_event,Clean up after an event.
cleaning_up_branches_and_twigs,Clean up branches and twigs.
cleaning_up_plates_and_food,Clean up plates and food.
cleaning_up_refrigerator,Clean up refrigerator.
cleaning_vehicles,Clean vehicles.
cleaning_windows,Clean windows.
clearing_food_from_table_into_fridge,Clear food from the table into the fridge.
clearing_table_after_breakfast,Clear the table after breakfast.
clearing_table_after_coffee,Clear the table after coffee.
clearing_table_after_dinner,Clear the table after dinner.
clearing_table_after_snacks,Clear the table after snacks.
clearing_table_after_supper,Clear the table after supper.
clearing_the_table_after_dinner,Clear the table after dinner.
cold_brew_coffee,Cold-brew coffee.
collecting_aluminum_cans,Collect aluminum cans.
collecting_berries,Collect berries.
collecting_childrens_toys,Collect children's toys.
collecting_dishes_from_around_house,Collect dishes from around house.
collecting_dishes_from_restaurant_tables,Collect dishes from restaurant tables.
collecting_mail_from_the_letterbox,Collect mail from the letterbox.
collecting_wood,Collect wood.
composting_waste,Compost waste.
cook_a_brisket,Cook a brisket.
cook_a_crab,Cook a crab.
cook_a_duck,Cook a duck.
cook_a_frozen_pie,Cook a frozen pie.
cook_a_ham,Cook a ham.
cook_a_pumpkin,Cook a pumpkin.
cook_a_turkey,Cook a turkey.
cook_arepas,Cook arepas.
cook_asparagus,Cook asparagus.
cook_bacon,Cook bacon.
cook_beef,Cook beef.
cook_beef_and_onions,Cook beef and onions.
cook_bok_choy,Cook bok choy.
cook_broccolini,Cook broccolini.
cook_brussels_sprouts,Cook brussels sprouts.
cook_cabbage,Cook cabbage.
cook_carrots,Cook carrots.
cook_chicken,Cook chicken.
cook_chicken_and_rice,Cook chicken and rice.
cook_chickpeas,Cook chickpeas.
cook_chorizo,Cook chorizo.
cook_clams,Cook clams.
cook_corn,Cook corn.
cook_eggplant,Cook eggplant.
cook_eggs,Cook eggs.
cook_fish,Cook fish.
cook_green_beans,Cook green beans.
cook_ground_beef,Cook ground beef.
cook_ham_hocks,Cook ham hocks.
cook_hot_dogs,Cook hot dogs.
cook_kabobs,Cook kabobs.
cook_kale,Cook kale.
cook_kielbasa,Cook kielbasa.
cook_lamb,Cook lamb.
cook_lasagne,Cook lasagne.
cook_mussels,Cook mussels.
cook_mustard_greens,Cook mustard greens.
cook_noodles,Cook noodles.
cook_onions,Cook onions.
cook_oysters,Cook oysters.
cook_pasta,Cook pasta.
cook_peas,Cook peas.
cook_peppers,Cook peppers.
cook_pork_ribs,Cook pork ribs.
cook_potatoes,Cook potatoes.
cook_pumpkin_seeds,Cook pumpkin seeds.
cook_quail,Cook quail.
cook_ramen_noodles,Cook ramen noodles.
cook_red_peppers,Cook red peppers.
cook_rice,Cook rice.
cook_sausages,Cook sausages.
cook_seafood_paella,Cook seafood paella.
cook_shrimp,Cook shrimp.
cook_snap_peas,Cook snap peas.
cook_soup,Cook soup.
cook_spinach,Cook spinach.
cook_squash,Cook squash.
cook_sweet_potatoes,Cook sweet potatoes.
cook_tofu,Cook tofu.
cook_turkey_drumsticks,Cook turkey drumsticks.
cook_vegetables,Cook vegetables.
cook_zucchini,Cook zucchini.
cooking_a_feast,Cook a feast.
cooking_breakfast,Cook breakfast.
cooking_dinner,Cook dinner.
cooking_food_for_adult,Cook food for adult.
cooking_lunch,Cook lunch.
cool_cakes,Cool cakes.
cover_a_flower_pot_in_fabric,Cover a flower pot in fabric.
covering_boat,Cover boat.
de_clutter_your_garage,Declutter your garage.
de_ice_a_car,De-ice a car.
decorating_for_religious_ceremony,Decorate for religious ceremony.
decorating_outside_for_holidays,Decorate outside for holidays.
decorating_outside_for_parties,Decorate outside for parties.
defrost_meat,Defrost meat.
defrosting_freezer,Defrost freezer.
delivering_groceries_to_doorstep,Deliver groceries to doorstep.
disinfect_laundry,Disinfect laundry.
disinfect_nail_clippers,Disinfect nail clippers.
dispose_of_a_pizza_box,Dispose of a pizza box.
dispose_of_batteries,Dispose of batteries.
dispose_of_fireworks,Dispose of fireworks.
dispose_of_glass,Dispose of glass.
dispose_of_medication,Dispose of medication.
dispose_of_paper,Dispose of paper.
disposing_of_lawn_clippings,Dispose of lawn clippings.
disposing_of_trash_for_adult,Dispose of trash for adult.
distributing_event_T_shirts,Distribute event T-shirts.
distributing_groceries_at_food_bank,Distribute groceries at the food bank.
doing_housework_for_adult,Do housework for adult.
doing_laundry,Do laundry.
donating_clothing,Donate clothing.
donating_toys,Donate toys.
drape_window_scarves,Drape window scarves.
drying_dishes,Dry dishes.
drying_table,Dry table.
dust_houseplants,Dust houseplants.
dusting_rugs,Dust rugs.
emptying_ashtray,Empty ashtray.
emptying_trash_cans,Empty trash cans.
fertilize_a_lawn,Fertilize a lawn.
fertilize_plants,Fertilize plants.
fertilizing_garden,Fertilize garden.
fill_a_bucket_in_a_small_sink,Fill a bucket in a small sink.
fill_a_canteen,Fill a canteen.
fill_a_hot_water_bottle,Fill a hot water bottle.
fill_a_punching_bag,Fill a punching bag.
filling_pepper,Fill pepper.
filling_salt,Fill salt.
filling_sugar,Fill sugar.
filling_the_bird_feeder,Fill the bird feeder.
fixing_broken_chair,Fix broken chair.
fixing_broken_table,Fix broken table.
fixing_mailbox,Fix mailbox.
fold_a_cloth_napkin,Fold a cloth napkin.
fold_a_plastic_bag,Fold a plastic bag.
fold_a_tortilla,Fold a tortilla.
fold_bandanas,Fold bandanas.
fold_towels,Fold towels.
folding_clean_laundry,Fold clean laundry.
folding_clothes,Fold clothes.
folding_piece_of_cloth,Fold piece of cloth.
folding_sheets,Fold sheets.
freeze_fruit,Freeze fruit.
freeze_lasagna,Freeze lasagna.
freeze_meat,Freeze meat.
freeze_pies,Freeze pies.
freeze_quiche,Freeze quiche.
freeze_vegetables,Freeze vegetables.
fry_pot_stickers,Fry pot stickers.
gathering_nuts,Gather nuts.
getting_a_drink,Get a drink.
getting_organized_for_work,Get organized for work.
getting_package_from_post_office,Get package from the post office.
glaze_a_ham,Glaze a ham.
grease_and_flour_a_pan,Grease and flour a pan.
grill_burgers,Grill burgers.
grill_vegetables,Grill vegetables.
halve_an_egg,Halve an egg.
hand_washing_clothing,Hand-wash clothing.
hang_a_bike_on_the_wall,Hang a bike on the wall.
hang_a_dartboard,Hang a dartboard.
hang_icicle_lights,Hang icicle lights.
hang_paper_lanterns,Hang paper lanterns.
hanging_address_numbers,Hang address numbers.
hanging_blinds,Hang blinds.
hanging_clothes,Hang clothes.
hanging_clothes_on_clothesline,Hang clothes on clothesline.
hanging_flags,Hang flags.
hanging_outdoor_lights,Hang outdoor lights.
hanging_pictures,Hang pictures.
hanging_shades,Hang shades.
hanging_up_bedsheets,Hang up bedsheets.
hanging_up_curtains,Hang up curtains.
hanging_up_wind_chimes,Hang up wind chimes.
hard_boil_an_egg,Hard-boil an egg.
heating_food_up,Heat food up.
hiding_Easter_eggs,Hide Easter eggs.
hoe_weeds,Hoe weeds.
ice_cookies,Ice cookies.
installing_a_fax_machine,Install a fax machine.
installing_a_fence,Install a fence.
installing_a_modem,Install a modem.
installing_a_printer,Install a printer.
installing_a_scanner,Install a scanner.
installing_a_trailer_hitch,Install a trailer hitch.
installing_alarms,Install alarms.
installing_carpet,Install carpet.
installing_smoke_detectors,Install smoke detectors.
iron_a_tie,Iron a tie.
iron_curtains,Iron curtains.
ironing_bedsheets,Iron bedsheets.
ironing_clothes,Iron clothes.
ironing_curtains,Iron curtains.
lay_sod,Lay sod.
laying_clothes_out,Lay clothes out.
laying_out_a_feast,Lay out a feast.
laying_out_snacks_at_work,Lay out snacks at work.
laying_paving_stones,Lay paving stones.
laying_restaurant_table_for_dinner,Lay the restaurant table for dinner.
laying_tile_floors,Lay tile floors.
laying_wood_floors,Lay wood floors.
lighting_fireplace,Light fireplace.
line_kitchen_shelves,Line kitchen shelves.
loading_shopping_into_car,Load shopping into the car.
loading_the_car,Load the car.
loading_the_dishwasher,Load the dishwasher.
lube_a_bicycle_chain,Lube a bicycle chain.
mailing_letters,Mail letters.
make_a_bake_sale_stand_stall,Make a bake sale stand stall.
make_a_basic_brine,Make a basic brine.
make_a_blended_iced_cappuccino,Make a blended iced cappuccino.
make_a_candy_centerpiece,Make a candy centerpiece.
make_a_cappuccino,Make a cappuccino.
make_a_car_emergency_kit,Make a car emergency kit.
make_a_cheese_pastry,Make a cheese pastry.
make_a_chia_breakfast_bowl,Make a chia breakfast bowl.
make_a_christmas_gift_box,Make a christmas gift box.
make_a_clothes_line,Make a clothes line.
make_a_frappe,Make a frappe.
make_a_lunch_box,Make a lunch box.
make_a_military_care_package,Make a military care package.
make_a_milkshake,Make a milkshake.
make_a_mojito,Make a mojito.
make_a_red_meat_sauce,Make a red meat sauce.
make_a_salad,Make a salad.
make_a_sandwich,Make a sandwich.
make_a_small_vegetable_garden,Make a small vegetable garden.
make_a_steak,Make a steak.
make_a_strawberry_slushie,Make a strawberry slushie.
make_a_sugar_and_coffee_scrub,Make a sugar and coffee scrub.
make_a_tropical_breakfast,Make a tropical breakfast.
make_a_vinegar_cleaning_solution,Make a vinegar cleaning solution.
make_a_wiener_schnitzle,Make a Wiener schnitzel.
make_an_egg_tomato_and_toast_breakfast,"Make an egg, tomato, and toast breakfast."
make_an_iced_espresso,Make an iced espresso.
make_applesauce,Make applesauce.
make_bagels,Make bagels.
make_baked_pears,Make baked pears.
make_batter,Make batter.
make_beef_and_broccoli,Make beef and broccoli.
make_bento,Make bento.
make_biscuits,Make biscuits.
make_blueberry_mousse,Make blueberry mousse.
make_brownies,Make brownies.
make_burrito_bowls,Make burrito bowls.
make_cabinet_doors,Make cabinet doors.
make_cake_filling,Make cake filling.
make_cake_mix,Make cake mix.
make_chicken_and_waffles,Make chicken and waffles.
make_chicken_curry,Make chicken curry.
make_chicken_fajitas,Make chicken fajitas.
make_chocolate_biscuits,Make chocolate biscuits.
make_chocolate_milk,Make chocolate milk.
make_chocolate_spread,Make chocolate spread.
make_chocolate_syrup,Make chocolate syrup.
make_cinnamon_sugar,Make cinnamon sugar.
make_cinnamon_toast,Make cinnamon toast.
make_citrus_punch,Make citrus punch.
make_coffee,Make coffee.
make_cookie_dough,Make cookie dough.
make_cookies,Make cookies.
make_cream_from_milk,Make cream from milk.
make_cream_soda,Make cream soda.
make_curry_rice,Make curry rice.
make_dessert_watermelons,Make dessert watermelons.
make_dinner_rolls,Make dinner rolls.
make_dinosaur_goody_bags,Make dinosaur goody bags.
make_edible_chocolate_chip_cookie_dough,Make edible chocolate chip cookie dough.
make_eggnog,Make eggnog.
make_fish_and_chips,Make fish and chips.
make_fried_rice,Make fried rice.
make_fruit_punch,Make fruit punch.
make_garlic_mushrooms,Make garlic mushrooms.
make_gift_bags_for_baby_showers,Make gift bags for baby showers.
make_granola,Make granola.
make_green_tea_latte,Make a green tea latte.
make_homemade_bird_food,Make homemade bird food.
make_hot_cocoa,Make hot cocoa.
make_ice,Make ice.
make_iced_chocolate,Make iced chocolate.
make_iced_tea,Make iced tea.
make_instant_coffee,Make instant coffee.
make_jamaican_jerk_seasoning,Make Jamaican jerk seasoning.
make_king_prawns_with_garlic,Make king prawns with garlic.
make_lemon_or_lime_water,Make lemon or lime water.
make_lemon_pepper_seasoning,Make lemon pepper seasoning.
make_lemon_pepper_wings,Make lemon pepper wings.
make_lemon_stain_remover,Make lemon stain remover.
make_lemonade,Make lemonade.
make_limeade,Make limeade.
make_macaroni_and_cheese,Make macaroni and cheese.
make_meatloaf,Make meatloaf.
make_microwave_popcorn,Make microwave popcorn.
make_muffins,Make muffins.
make_mustard_herb_and_spice_seasoning,"Make mustard, herb, and spice seasoning."
make_nachos,Make nachos.
make_oatmeal,Make oatmeal.
make_onion_ring_batter,Make onion ring batter.
make_party_favors_from_candy,Make party favors from candy.
make_pasta_sauce,Make pasta sauce.
make_pastry,Make pastry.
make_pizza,Make pizza.
make_pizza_dough,Make pizza dough.
make_pizza_sauce,Make pizza sauce.
make_popsicles,Make popsicles.
make_pumpkin_pie_spice,Make pumpkin pie spice.
make_red_beans_and_rice,Make red beans and rice.
make_rose_centerpieces,Make rose centerpieces.
make_seafood_stew,Make seafood stew.
make_soup,Make soup.
make_spa_water,Make spa water.
make_stew,Make stew.
make_stewed_fruit,Make stewed fruit.
make_strawberries_and_cream,Make strawberries and cream.
make_tacos,Make tacos.
make_the_ultimate_spa_basket,Make the ultimate spa basket.
make_the_workplace_exciting,Make the workplace exciting.
make_toast,Make toast.
make_tomato_rice,Make tomato rice.
make_waffles,Make waffles.
make_watermelon_punch,Make watermelon punch.
make_white_wine_sauce,Make white wine sauce.
make_yams,Make yams.
making_a_drink,Make a drink.
making_a_meal,Make a meal.
making_a_snack,Make a snack.
making_coffee,Make coffee.
making_the_bed,Make the bed.
melt_white_chocolate,Melt white chocolate.
mixing_drinks,Mix drinks.
mopping_floors,Mop floors.
mopping_the_kitchen_floor,Mop the kitchen floor.
moving_boxes_to_storage,Move boxes to storage.
moving_stuff_to_storage,Move stuff to storage.
mowing_the_lawn,Mow the lawn.
mulching,Mulch.
opening_doors,Open doors.
opening_windows,Open windows.
organise_a_linen_closet,Organise a linen closet.
organizing_art_supplies,Organize art supplies.
organizing_boxes_in_garage,Organize boxes in the garage.
organizing_file_cabinet,Organize file cabinet.
organizing_items_for_yard_sale,Organize items for yard sale.
organizing_office_documents,Organize office documents.
organizing_school_stuff,Organize school stuff.
organizing_skating_stuff,Organize skating stuff.
organizing_volunteer_materials,Organize volunteer materials.
outfit_a_basic_toolbox,Outfit a basic toolbox.
pack_a_beach_bag,Pack a beach bag.
pack_a_pencil_case,Pack a pencil case.
pack_for_the_pool,Pack for the pool.
pack_your_gym_bag,Pack your gym bag.
packing_art_supplies_into_car,Pack art supplies into the car.
packing_bags_or_suitcase,Pack bags or suitcase.
packing_books_into_car,Pack books into the car.
packing_car_for_trip,Pack car for the trip.
packing_cleaning_suppies_into_car,Pack cleaning supplies into the car.
packing_documents_into_car,Pack documents into the car.
packing_fishing_gear_into_car,Pack fishing gear into the car.
packing_grocery_bags_into_car,Pack grocery bags into the car.
packing_hiking_equipment_into_car,Pack hiking equipment into the car.
packing_hobby_equipment,Pack hobby equipment.
packing_meal_for_delivery,Pack meal for delivery.
packing_moving_van,Pack moving van.
packing_picnic_food_into_car,Pack picnic food into the car.
packing_picnic_into_car,Pack picnic into the car.
packing_recreational_vehicle_for_trip,Pack recreational vehicle for the trip.
packing_sports_equipment_into_car,Pack sports equipment into the car.
painting_house_exterior,Paint house exterior.
painting_porch,Paint porch.
passing_out_drinks,Pass out drinks.
paying_for_purchases,Pay for purchases.
picking_fruit_and_vegetables,Pick fruit and vegetables.
